Name,Agrivoltaic Activities,System Size,Site Size,Year Installed,PV Technology,Type Of Array,Habitat Type,Crop Types,Animal Type
InSPIRE/Sites/Abel,Habitat,2.4,17,2020,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Acturus Community Solar,Habitat,1.5,7.6,2018,,Fixed,Native grasses,,
InSPIRE/Sites/Agard-enfield,Grazing,2.3,4.5,2017,Monofacial PV,Fixed,,,Sheep
InSPIRE/Sites/Agawam,Habitat,1.8,9,2012,,Fixed,Pollinator,,
InSPIRE/Sites/Albany,"Habitat,Grazing",15.2,100.8,2016,Monofacial PV,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Alden Road Harvard Solar 1,Habitat,2.4,15.1,2020,,Fixed,Pollinator,,
InSPIRE/Sites/All In Solar,Habitat,1.4,8.5,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Alliant Energy Solar Farm at Iowa State University,"Crop Production,Habitat",1.375,6,2023,Bifacial PV,Single-axis Tracking,Pollinator,"Broccoli, bell pepper, raspberry, summer squash, strawberry",
"InSPIRE/Sites/Allis Medina Solar, LLC (CSG)",Grazing,7.3,20.2,2020,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Allium Community Solar Garden,Habitat,1.5,7.6,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Altair Community Solar Garden,Habitat,1.5,11.5,2019,,Fixed,Native grasses,,
InSPIRE/Sites/American Bottoms,Habitat,1.8,6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/American Kings Solar,Grazing,172.3,665,2020,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Ames Electric Services Power Plant,"Habitat,Grazing",2.2,10,2020,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Amherst Sunderland Road,"Habitat,Grazing",4.03,13.7,2019,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Anderson Community Solar Garden,Habitat,1,7,2022,,Fixed,Pollinator,,
InSPIRE/Sites/Andromeda Community Solar,"Habitat,Grazing",6.5,30.02,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Animal Farm Cook Campus,"Habitat,Grazing",0.17,2.89,2024,Bifacial PV,Fixed,,Hay,Cows
InSPIRE/Sites/Annandale,Habitat,9.1,66.22,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Anoka County MN CONX,Habitat,4.6,18,2018,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/Antares Community Solar,"Habitat,Grazing",3.9,18.1,2018,Other,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Antlia Community Solar,"Habitat,Grazing",2.6,18.64,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Aquarius Community Solar,Habitat,1.5,11.1,2019,,Fixed,Native grasses,,
InSPIRE/Sites/Arcadia Solar,Habitat,6.8,30,2019,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Argo Navis Community Solar,"Habitat,Grazing",3.9,21.54,2018,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Aries Community Solar,Habitat,5.2,23.12,2017,Other,Fixed,Pollinator,,
InSPIRE/Sites/Ash Ridge DPC Solar,Habitat,0.7,5.4,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Aspiration G,Grazing,11.7,80,2017,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Athens Solar,Habitat,8.8,40.3,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Atwater - O,Habitat,5.9,26.1,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Auburn Renewables Solar Array,Habitat,14.7,55,2022,,Fixed,Pollinator,,
InSPIRE/Sites/Auriga Community Solar,Habitat,1.5,7.77,2018,,Fixed,Native grasses,,
InSPIRE/Sites/B&B Solar,Habitat,1.2,6.9,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/B.R. Corcoran CSG,Habitat,7,32.6,2017,,Fixed,Pollinator,,
InSPIRE/Sites/B.R. Sartell CSG,"Habitat,Grazing",4.2,18.95,2017,Monofacial PV,Fixed,Pollinator,,Sheep
InSPIRE/Sites/B.R. Sauk Rapids CSG,Habitat,7,30.43,2017,,Fixed,Pollinator,,
InSPIRE/Sites/BD Solar North Bridgton,Grazing,4.99,21.5,2020,,Fixed,,,Sheep
"InSPIRE/Sites/BT Cooke Solar, LLC",Grazing,81.4,415,2020,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Ballenger-McKinney Photovoltaic Solar Project,Grazing,1.3,4.9,2018,,Fixed,,,Sheep
InSPIRE/Sites/Bancroft Station Solar Farm,Grazing,139.7,1200,2019,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Bandera Electric Coop PV,Habitat,2,11.4,2017,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Barone CSG,Habitat,1.4,7.1,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Bauer Community Solar Garden,Habitat,1.3,8.4,2021,,Fixed,,,
"InSPIRE/Sites/Beals Medina Solar, LLC (CSG)",Grazing,5.2,14.2,2020,,Fixed,,,Sheep
InSPIRE/Sites/Becker Solar 1,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
InSPIRE/Sites/Becker Solar 2,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
InSPIRE/Sites/Becker Solar 3,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
InSPIRE/Sites/Becker Solar 4,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
InSPIRE/Sites/Becker Solar 5,Habitat,1.4,6,2019,,Fixed,"Pollinator, Native grasses",,
InSPIRE/Sites/Bellflower Solar Farm,"Habitat,Grazing",173,1400,2022,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
InSPIRE/Sites/Big Lake Project CSG,Habitat,6.9,39.5,2018,,Single-axis Tracking,Native grasses,,
InSPIRE/Sites/Big Lake Solar,"Crop Production,Habitat",1.4,18.1,2018,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses","Vegetables (kohlrabi, cabbage, broccoli, kale, chard, peppers, parsley, tomatoes)",
InSPIRE/Sites/Bighorn Solar,"Habitat,Grazing",300,1800,2021,Bifacial PV,Single-axis Tracking,Native grasses,,Sheep
InSPIRE/Sites/Billings Road,Habitat,2.3,7.9,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Blue Prairie,"Grazing,Habitat",3.1,18.96,2021,,Single-axis Tracking,Native grasses,,Sheep
InSPIRE/Sites/Bluff Country Solar,Habitat,1.4,9,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Bone Hill,Habitat,1.8,9.4,2020,,Fixed,Pollinator,,
InSPIRE/Sites/Bongards,Habitat,6.9,34.275,2016,,Fixed,Pollinator,,
InSPIRE/Sites/Borner,"Habitat,Grazing",5,39.65,,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Boulder Housing Partners Triangle Solar Array,"Crop Production,Habitat",0.63,3.8,2021,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/Boutillier Solar,Grazing,0.65,3.2,2016,,Fixed,,,Sheep
InSPIRE/Sites/Briar Creek Solar,"Grazing,Habitat",153.5,765,2021,,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
InSPIRE/Sites/Brick Solar,Habitat,2.7,16,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Brimfield,Grazing,2.6,5,2021,,Fixed,,,Sheep
InSPIRE/Sites/Brude Solar,Habitat,0.6,6,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Bryan Floyd,Grazing,1.9,14.2,2023,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Buckaroo Solar,Habitat,1.4,8.2,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Buffalo Garden,Habitat,1.3,5.21,2020,,Fixed,Native grasses,,
InSPIRE/Sites/Bunker Hill,Habitat,2.4,18,2021,,,Pollinator,,
InSPIRE/Sites/Burgundy Brook Farm Agrivoltaic Project,"Crop Production,Habitat,Grazing",2.4,12,2023,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Hay,Cattle
InSPIRE/Sites/Bush Solar,Habitat,1.4,7.8,2020,,Single-axis Tracking,Pollinator,,
"InSPIRE/Sites/CF Novel Solar CSG Gardens Eleven, LLC",Habitat,3.6,22,2017,Monofacial PV,Fixed,Pollinator,,
"InSPIRE/Sites/CGSun, LLC Community Solar",Habitat,5,35,2017,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/CSU Foothills Campus - Rooftop Agrivoltaics Research,"Crop Production,Habitat",0.01,0.1,2009,Translucent PV,Fixed,Pollinator,"Leafy Greens, Berries",
InSPIRE/Sites/CSU Spur Campus - Rooftop Agrivoltaics,"Crop Production,Habitat",0.046,0.1,2022,Bifacial PV,Fixed,,,
InSPIRE/Sites/Caelum Community Solar,"Habitat,Grazing",2.6,9.17,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Caitlin,Grazing,1.35,5,,Monofacial PV,Fixed,,,Sheep
InSPIRE/Sites/California: Habitat & Wildlife Monitoring,Habitat,0.1,0.1,,,,,,
InSPIRE/Sites/Cambridge Solar,Habitat,2.4,14.5,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Camp Ripley,Habitat,13.1,62,2016,,Fixed,Pollinator,,
InSPIRE/Sites/Candor,Grazing,1.11,4,2017,Monofacial PV,Fixed,,,Sheep
InSPIRE/Sites/Canopus Community Solar Garden,Habitat,1.5,10.21,2019,Other,Fixed,,,
InSPIRE/Sites/Capella Community Solar,"Habitat,Grazing",6.5,34.31,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Capricornus Community Solar Garden,Habitat,1.5,10.99,2019,Other,Fixed,Pollinator,,
InSPIRE/Sites/Carina Community Solar,Habitat,5.2,24.42,2018,Other,Fixed,Pollinator,,
InSPIRE/Sites/Carpenter Hill,Grazing,0.834,8.8,2018,,Fixed,,,Sheep
InSPIRE/Sites/Carrizozo,Habitat,3.6,22.6,2018,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Carter Farms,Habitat,1.3,6.5,2019,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,
InSPIRE/Sites/Catherine,Grazing,4.3,19,2024,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Catskill View Solar Farm,"Habitat,Grazing",6,10,2022,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Cedar RD,Grazing,2.5,13.6,2017,,Fixed,,,Sheep
InSPIRE/Sites/Centaurus Community Solar,"Habitat,Grazing",2.6,14.33,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Center Road,Habitat,2.9,9.15,2022,,Fixed,Pollinator,,
InSPIRE/Sites/Centerfield Solar,Habitat,1.4,9.2,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Central 40,Grazing,50.3,220,2021,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Chambers Road Solar,Grazing,5.5,15.3,2020,,Fixed,,,Sheep
InSPIRE/Sites/Chariot Solar,Habitat,1.4,7.8,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Charter Durabar,Habitat,2.9,15.41,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Chatfield Farms Solar Garden,Crop Production,1.2,4,2024,Bifacial PV,Single-axis Tracking,,"Vegetables, herbs, fruits",
InSPIRE/Sites/Cheyenne Solar,Habitat,1.4,10.6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Chisago Solar,"Habitat,Grazing",9.6,53,2016,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,Sheep
InSPIRE/Sites/Christoffer Solar,Habitat,1.4,9.5,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Chub Garden Solar,Habitat,1.3,6.8,2020,,Fixed,Pollinator,,
InSPIRE/Sites/Citizen B,Grazing,7.1,40,2015,,Fixed,,,Sheep
InSPIRE/Sites/Claverack Creek Solar Farm,"Habitat,Grazing",6,30,2022,,Single-axis Tracking,Pollinator,,Sheep
InSPIRE/Sites/Clay FS PV,Habitat,2.7,12.2,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Colorado State University-ARDEC,Crop Production,0.01,0.05,2019,Translucent PV,Fixed,,"Peppers, Tomatoes, Squash, Lettuce, Herbs",
InSPIRE/Sites/Comanche Solar,Grazing,150,1000,2016,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Conagra St. Elmo,Habitat,2.2,8.5,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Connexus Energy HQ: Solar Farmland for Emerging Farmers,"Crop Production,Habitat",0.245,1.2,2014,Monofacial PV,Fixed,"Pollinator, Native grasses","Vegetables (kohlrabi, cabbage, kale, chard, peppers, basil, tomatoes)",
InSPIRE/Sites/Conrath DPC Solar,Habitat,1.2,7,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Cople,Habitat,0.788,4.3,2019,,Fixed,Pollinator,,
"InSPIRE/Sites/Coral Bells Solar, LLC",Habitat,1.5,8.35,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Cornell Snyder Road Solar Array,Grazing,2,7.7,2014,,Fixed,,,Sheep
InSPIRE/Sites/Cornillie,Habitat,1.4,7.06,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Corvus Community Solar,"Habitat,Grazing",6.5,33.5,2018,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Cottage Grove Project CSG,Habitat,6.4,23.1,2018,,Fixed,Native grasses,,
InSPIRE/Sites/Cougar Solar,Habitat,1.4,8.4,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Coyote Clovis,Habitat,2.5,10,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Cozy Cove Farm,Grazing,0.05,0.23,2013,,Fixed,,,Llamas and Alpacas
InSPIRE/Sites/Cranberry Highway,Habitat,2.9,14.5,2020,,Fixed,Pollinator,,
InSPIRE/Sites/Crater Community Solar,"Habitat,Grazing",3.9,18.03,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Crux Community Solar,Habitat,1.5,12.45,2019,,Fixed,Native grasses,,
InSPIRE/Sites/Cumberland Solar Farm,Grazing,20,160,2018,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/DVL Solar,Habitat,1.4,10.75,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Delphinus Community Solar,Habitat,2.6,12.13,2018,Other,Fixed,Pollinator,,
InSPIRE/Sites/Denison University Bioreserve Array,Habitat,2.3,10,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Denn Solar,Habitat,7,31.2,2019,,Fixed,Pollinator,,
InSPIRE/Sites/Devine Johnson,Habitat,5,4,,,Fixed,Native grasses,,
InSPIRE/Sites/Dighton,Grazing,4.5,24.8,2017,,,,,Sheep
InSPIRE/Sites/Dighton Tremont St Agrivoltaic Project,"Crop Production,Habitat,Grazing",3.6,19,2023,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Mixed vegetables,Sheep
InSPIRE/Sites/Dodge center,Habitat,9.9,58.6,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Domino Farms Solar Farm,Habitat,1.1,12,2015,Monofacial PV,Fixed,Pollinator,,
InSPIRE/Sites/Dot Com Solar,Habitat,1.6,9.7,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Douglas Oak St Agrivoltaic Project,"Crop Production,Habitat,Grazing",3.5,20,2024,Bifacial PV,Single-axis Tracking,"Naturalized, Pollinator",Hay,Cattle
InSPIRE/Sites/Downsville DPC Solar,Habitat,1.4,9.5,2017,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Dubhe Solar,Habitat,1.4,10.3,2018,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Dundas Solar Holdings LLC,Habitat,6.6,37.39,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Dynamic Agrivoltaic Shelterbelt,Crop Production,0.0065,0.23,2024,Bifacial PV,Single-axis Tracking,,,
InSPIRE/Sites/E.W. Brown Solar Facility,"Habitat,Grazing",10,50,2016,,Fixed,,,Sheep
InSPIRE/Sites/EHW Solar,Habitat,0.6,7.2,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/ER Salvage Yard- Hess,Habitat,2.8,9.35,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Eagle Point,Habitat,13.1,41,2017,Monofacial PV,Single-axis Tracking,,,
InSPIRE/Sites/Easton Wastewater Treatment Plant,Habitat,2,16,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Eastwood Q,Habitat,8.2,48.4,2016,Monofacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Eau Claire Electric Cooperative Membersolar Array,Grazing,0.858,4,2016,,Fixed,,,Sheep
InSPIRE/Sites/Edwardsville Solar II,Habitat,2.8,18.13,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Eggo Solar,Habitat,1.4,11.2,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Eichtens II CSG,Habitat,1.4,7.57,2018,,Fixed,Pollinator,,
InSPIRE/Sites/Eiffel Solar,Grazing,314,1500,2022,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Electric City Solar,Habitat,18.9,130,2020,Monofacial PV,Single-axis Tracking,"Pollinator, Native grasses",,
InSPIRE/Sites/Erin Garden Solar,Habitat,1.3,4.8,2020,,Fixed,Native grasses,,
InSPIRE/Sites/Everson Garden,Habitat,1.5,7.34,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FL Starratt,Grazing,7,27,2017,,,,,Sheep
InSPIRE/Sites/Fall River,Habitat,98.84,200,2022,,Single-axis Tracking,"Pollinator, Native grasses",,
InSPIRE/Sites/Falls Creek Garden,Habitat,1.3,4.85,2020,,Fixed,Native grasses,,
InSPIRE/Sites/Fargo Road Solar,Habitat,3.2,17.5,2022,Bifacial PV,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Farmington Holdco Solar,"Habitat,Grazing",6.2,27.78,2017,Monofacial PV,Fixed,Pollinator,,Sheep
InSPIRE/Sites/FastSun 1,Habitat,1.3,9.68,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 10,Habitat,1.4,8.7,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 11,Habitat,1.4,10,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 13,Habitat,1.3,9.21,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 14,Habitat,1.4,14,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 18,Habitat,1.3,10.2,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 19,Habitat,1.4,11.6,2020,,Fixed,Pollinator,,
InSPIRE/Sites/FastSun 2,Habitat,1.4,13.25,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 21,Habitat,1.5,4.7,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 3,Habitat,1.4,9.9,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 7,Habitat,1.2,7.36,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 8,Habitat,1.4,9.96,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/FastSun 9,Habitat,1.4,12.46,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Felton CSG PV1-5,"Habitat,Grazing",6.5,70,2019,,Fixed,Native grasses,,Sheep
InSPIRE/Sites/Fennimore Solar,Habitat,4.11,17.5,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Fiddlehead Farms,Crop Production,,0.3,2023,Monofacial PV,,,"grapes, persimmons, blueberries, peaches, pears, apples, kiwis, tomatoes, peppers, broccoli, kale",
InSPIRE/Sites/Fitchburg Renewables,"Habitat,Grazing",5.1,18.8,2020,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Fitchburg Solar,"Habitat,Grazing",0.7,3.7,2017,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Five Points Solar Park,Grazing,84.1,480,2016,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Flower Solar,Habitat,1.4,9.6,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Fond Du Lac,Habitat,1.2,6,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Forest City Solar,Habitat,4,12.5,2019,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Fountain,Habitat,3.8,20.93,2021,,Single-axis Tracking,Pollinator,,
"InSPIRE/Sites/Fox CSG, LLC","Habitat,Grazing",6.5,31,2018,,Fixed,Native grasses,,Sheep
InSPIRE/Sites/Foxhound Solar,Habitat,108,580,2023,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Franks II,Habitat,2.9,16.1,2020,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/Frederick Urbana Solar,Grazing,7.5,10.8,2018,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/French Road Solar II PV,Habitat,2.8,18,2022,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/GRE Marshan Solar,Habitat,1.2,6.5,2017,,Fixed,Pollinator,,
InSPIRE/Sites/GSI Assumption,Habitat,2,7.5,2021,,Single-axis Tracking,Pollinator,,
InSPIRE/Sites/GSPP Held LLC CSG,"Habitat,Grazing",4,25.3,2019,Monofacial PV,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Gardiner Our Kids Farm,Crop Production,0.028,0.15,2019,Monofacial PV,Fixed,,"Assorted vegetables - broccoli, kale, cabbage, swiss chard, strawberries, tomatoes, peppers, eggplant, squash - winter and summer, cucumbers, kohlrabi, herbs, salad greens, celery, onions, shallots, leeks, string beans and peas.",
InSPIRE/Sites/Gardner Clark Road,"Habitat,Grazing",7.1,18.7,2020,,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Gaskell West 1 Solar Facility,Grazing,168,700,2018,,Single-axis Tracking,,,Sheep
InSPIRE/Sites/Geauga,Habitat,0.322,2,2021,,Fixed,Pollinator,,
InSPIRE/Sites/Gemini Community Solar,"Habitat,Grazing",3.9,18.64,2017,Other,Fixed,Pollinator,,Sheep
InSPIRE/Sites/Geneva,Grazing,2.8,12,2015,Monofacial PV,Fixed,,,Sheep
InSPIRE/Sites/George Hill,Grazing,4,19,,,Single-axis Tracking,,,Sheep
